1. What is the meaning of HTML?,A. HyperText Markup Language,B. HighText Main Language,C. High Time Memory Lane,D. How To Make Love,a
2. What to do to make the text s bold?,A. <b>,B. <i>,C. <u>,D. <span>,a
3. How to use external javascript file?,A. <style>,B. <span>,C. <div>,D. <script>,d
4. What is the proper way of using inline styling?,A. <font-size: 16px>,B. <span font-size: 16px;>,C. <font-size: 16px;>,D. font-size:16px;,b
5. Where can you find the main content?,A. body,B. head,C. footer,D. html ,a
6. The body tag needs a closing tag.,A. True,B. False,C. Maybe,D. None of the Above,a
7. What html tag doesn’t need a closing tag?,A. <script>,B. <style>,C. <br>,D. <div>,c
8. Which tag doesn’t start on a new line?,A. <p>,B. <span>,C. <div>,D. None of the Above,b
9. What is the current version of HTML?,A. HTTML,B. HTML5,C. HTML 4.01,D. HTML 1.0,b
10. What is the file extention of an HTMl file?,A. .java,B. .txt,C. .docx,D. .html,d
